Project_ID,Update_Day,Planned_Cost,Planned_Labour,Planned_Material,Actual_Cost,Actual_Labour,Actual_Material,%Work_Completed,External_Delay,Internal_Delay,Delay_Label
PROJ_00022,2025-04-24,174495038087.26,251,88102899308.52,122146526661.082,288,61672029515.964,7.12,2,2,False
PROJ_00023,2024-04-18,562662789597.07,286,332125308562.6,696650474953.42,334,322650054394.72,54.8,5,4,True
PROJ_00024,2025-07-24,844663466978.18,93,462822568683.22,591264426884.726,118,323975798078.25397,32.0,2,2,False
PROJ_00025,2025-09-15,5756794496660.47,382,1885414928075.71,8212198076241.8,348,1921229290739.05,60.24,8,8,True
PROJ_00026,2025-04-08,30483292285.52,145,12567689503.95,21338304599.864,116,8797382652.765,37.06,8,2,True
PROJ_00027,2024-11-30,530456241112.85,10,267515356698.1,371319368778.99493,12,187260749688.66998,23.75,4,4,True
PROJ_00028,2024-05-10,1158661411519.46,450,529426409402.53,1266843138912.25,402,550132022934.19,62.94,5,5,True
PROJ_00029,2024-12-30,1538495444952.39,229,627865419760.99,1076946811466.6729,191,439505793832.693,25.99,2,3,False
PROJ_00030,2025-05-23,4091582423953.74,418,1740857484054.44,3792767895146.15,458,1765694745161.2,93.27,2,3,False
PROJ_00031,2024-07-08,275296819751.76,108,93643764712.38,192707773826.232,99,65550635298.666,1.37,7,2,True
PROJ_00032,2023-10-04,538840479273.17,497,261573898984.14,377188335491.219,404,183101729288.898,35.82,7,2,True
PROJ_00033,2024-03-09,3051008250323.58,444,1741958874490.33,4051075413538.69,542,1969589912012.52,61.73,7,5,True
PROJ_00034,2025-09-11,33278725612.17,135,16307249653.65,23295107928.518997,151,11415074757.554998,24.01,2,1,False
PROJ_00035,2024-12-03,1002960770909.2,204,455916696508.81,1154338411536.84,196,454309512376.06,97.31,5,4,True
PROJ_00036,2024-09-10,307114479844.29,223,99667158724.15,322466651809.58,247,100731015132.89,87.36,5,2,False
PROJ_00037,2024-07-08,3854941837271.66,23,1327340233098.45,2698459286090.162,26,929138163168.9149,13.31,5,1,False
PROJ_00038,2024-03-05,1947027831743.73,95,775402287376.95,1362919482220.6108,89,542781601163.8649,11.98,6,3,True
PROJ_00039,2024-05-05,1311498885244.3,449,589485055664.62,918049219671.01,540,412639538965.23395,33.03,2,3,False
PROJ_00040,2024-09-06,1081263922800.07,344,589420342633.52,756884745960.049,294,412594239843.464,25.79,7,3,True
PROJ_00041,2024-01-10,851967445157.17,148,493803996953.9,596377211610.019,118,345662797867.73,32.06,5,2,False
PROJ_00042,2023-12-31,11783753460191.96,428,4768419330965.75,13428277032422.88,385,4525691446345.65,92.95,6,4,True
PROJ_00043,2024-10-21,590717465649.36,388,289526915473.12,695807019533.43,323,280466928425.65,90.79,8,3,True
PROJ_00044,2024-01-05,10549386880.33,76,5151396594.02,7384570816.231,82,3605977615.814,33.49,6,3,True
PROJ_00045,2024-09-29,194099230819.99,303,89468954547.73,135869461573.99298,276,62628268183.410995,37.88,7,6,True
PROJ_00046,2024-09-14,1107867740008.38,227,527199857739.1,1118817411933.04,250,541560360837.21,50.59,4,4,True
PROJ_00047,2025-06-07,430731383591.27,223,246897752935.03,301511968513.889,246,172828427054.521,12.28,3,2,False
PROJ_00048,2024-06-24,98978750931.13,322,29831166834.72,69285125651.791,337,20881816784.304,33.35,7,2,True
PROJ_00049,2023-11-11,231194149769.01,72,88611204039.56,161835904838.307,72,62027842827.69199,22.01,7,2,True
PROJ_00050,2025-01-10,166937404420.51,314,51911673331.05,116856183094.357,279,36338171331.735,47.21,5,2,False
PROJ_00051,2025-03-30,261084126170.46,467,148616688155.05,337523416594.51,541,169659992350.67,52.66,7,5,True
PROJ_00052,2024-02-02,333339132534.61,311,183025170600.71,233337392774.227,252,128117619420.49698,39.72,4,1,False
PROJ_00053,2024-10-19,26708740460.87,11,15309108188.66,35695395466.8,14,17359420803.08,62.48,3,5,True
PROJ_00054,2023-12-17,419591807241.45,68,238481577838.74,420599674806.37,82,285061955639.49,79.99,2,3,False
PROJ_00055,2025-04-15,47322627245.15,224,23895804667.09,53478437043.88,194,23396505192.87,82.26,4,2,False
PROJ_00056,2024-07-24,1282701810435.94,107,615895762353.45,1344714565018.28,117,599639029203.08,66.5,5,2,False
PROJ_00057,2025-07-02,33236104348.92,173,17140316725.59,23265273044.243996,181,11998221707.913,29.71,6,2,True
PROJ_00058,2025-06-22,1832744075367.79,82,591135719904.11,2033763766225.22,103,556285661879.07,72.82,7,2,True
PROJ_00059,2024-10-02,292366889474.86,312,95314986770.48,368986664424.3,341,114359497770.48,95.82,9,1,True
PROJ_00060,2025-05-11,50057138929.87,400,15526913248.81,74114487105.61,335,17217586549.68,69.74,9,2,True
PROJ_00061,2024-04-11,2150152000186.93,373,1014287607628.6,2473834312206.88,300,928889815451.95,80.4,9,3,True
PROJ_00062,2025-09-18,16094237905991.35,245,9579693413591.44,16978823984609.59,224,8742696027687.25,76.83,4,2,False
PROJ_00063,2023-12-08,17977881133.66,353,6064501424.19,20481488354.15,290,6156846699.89,95.64,9,4,True
PROJ_00064,2023-11-13,660174945002.1,63,389985666167.01,799352352043.09,67,420358522196.19,88.38,6,2,True
PROJ_00065,2025-08-05,92711684419.71,114,38693307698.13,64898179093.797,91,27085315388.690998,27.3,3,4,False
PROJ_00066,2024-05-18,350040154389.12,46,128133934918.06,404961730098.79,56,148659487036.43,68.33,6,5,True
PROJ_00067,2024-07-20,1119215082965.28,354,648055869532.87,783450558075.6959,381,453639108673.009,10.58,6,3,True
PROJ_00068,2023-12-18,101141052312.89,22,49061307011.27,117171726935.9,27,54279748093.28,98.12,5,6,True
PROJ_00069,2024-05-23,247176099608.88,26,131323496969.01,276721903561.3,21,150556333189.77,70.86,2,6,True
PROJ_00070,2024-01-09,1798245570615.74,468,908093536506.18,1258771899431.0178,533,635665475554.326,44.59,6,1,False
PROJ_00071,2024-10-21,234168387282.98,30,134145082561.79,263510654993.81,27,124399354733.28,85.74,7,5,True
PROJ_00072,2024-07-08,257669146540.32,59,136128464634.99,252859970491.48,50,150513103158.75,62.62,1,4,False
PROJ_00073,2025-01-04,42616982877.95,453,13606012214.97,45531567421.05,471,14694577065.56,58.2,4,1,False
PROJ_00074,2025-07-09,1517685736352.57,298,889052095817.89,1473122090030.5,310,856250406700.49,90.78,4,0,False
PROJ_00075,2024-10-05,1929046276159.5,251,767641574141.32,1917335567040.87,217,821577801771.89,51.77,2,1,False
PROJ_00076,2024-03-12,1440843138378.74,491,450054628489.9,1934088382925.03,585,469979064201.55,67.04,7,7,True
PROJ_00077,2024-10-11,4097499055668.04,21,1533001297103.14,2868249338967.628,27,1073100907972.1979,15.95,6,3,True
PROJ_00078,2024-09-25,60214837814.69,44,22048767054.03,42150386470.283,35,15434136937.820997,41.84,6,5,True
PROJ_00079,2024-04-29,3147136672872.81,429,1342305020266.25,2202995671010.967,551,939613514186.375,27.68,6,3,True
PROJ_00080,2025-08-14,314608346735.79,327,103574736285.02,220225842715.05298,357,72502315399.51399,40.5,5,2,False
PROJ_00081,2024-06-27,39655620273.04,296,14704904343.83,27758934191.128,242,10293433040.681,7.35,5,3,True
PROJ_00082,2025-09-15,201785863048.75,129,109307613058.32,259834570512.41,163,99667016308.41,58.54,3,1,False
PROJ_00083,2025-08-27,268616757074.61,254,87721281278.85,188031729952.227,269,61404896895.195,10.33,5,3,True
PROJ_00084,2025-07-22,66109604622.45,135,25940019393.74,81260641985.35,149,30107841098.97,70.47,5,6,True
PROJ_00085,2023-12-10,166713769463.94,337,89800890653.13,204516092280.91,318,83760244221.24,91.87,7,4,True
PROJ_00086,2025-06-12,2047643269481.15,141,1024390911654.17,2517420429641.19,161,1041362436766.04,80.78,6,2,True
PROJ_00087,2025-07-09,31835086363.08,300,11721070372.41,22284560454.156,320,8204749260.686999,7.32,8,3,True
PROJ_00088,2024-03-21,906525573726.55,373,531819672123.42,634567901608.585,472,372273770486.394,1.82,1,4,False
PROJ_00089,2025-03-27,310793852177.99,382,119799179627.96,217555696524.593,435,83859425739.572,30.73,6,1,False
PROJ_00090,2024-06-04,5216590879323.89,321,2806641583730.18,3651613615526.7227,359,1964649108611.126,18.52,5,1,False
PROJ_00091,2024-03-13,2386452433079.09,280,1153358850146.28,1670516703155.3628,287,807351195102.396,41.1,7,2,True
PROJ_00092,2025-01-13,717809166500.68,235,317176606259.01,751193723273.86,204,311582269446.68,53.54,3,3,False
PROJ_00093,2024-10-20,4016147874985.04,51,1720758254561.39,4868748832216.81,42,2010288327724.78,71.76,4,2,False
PROJ_00094,2024-06-30,136611107392.67,388,55063585292.44,144606180504.09,347,50421816608.49,61.72,5,3,True
PROJ_00095,2025-07-14,34476517624.28,300,17900040845.32,24133562336.996,307,12530028591.723999,46.52,3,3,False
PROJ_00096,2025-09-01,2346485228254.56,477,1038239846306.63,1642539659778.192,442,726767892414.641,38.25,2,4,False
PROJ_00097,2025-04-20,511188263044.73,469,273285552849.94,593076919172.12,594,291360843021.73,70.87,2,1,False
PROJ_00098,2024-05-09,91607356447.26,416,53381082005.23,97094460317.31,376,61154461922.62,87.33,6,5,True
PROJ_00099,2025-08-29,170458925029.05,215,101028117334.5,191872325770.26,211,92991501622.52,64.1,7,2,True
PROJ_00100,2024-08-25,355894562905.03,297,119797852331.98,403217605066.01,327,120928680055.2,59.43,4,0,False
PROJ_00101,2023-11-24,1818271324183.6,427,796293974871.25,1272789926928.52,363,557405782409.875,5.82,5,1,False
PROJ_00102,2024-05-19,334684969127.85,112,123387765865.34,234279478389.49496,111,86371436105.73799,23.26,6,4,True
PROJ_00103,2023-10-30,139612537965.93,414,42687606132.76,97728776576.15099,444,29881324292.932,25.98,4,5,True
PROJ_00104,2024-08-16,54601955419.77,61,20368898578.89,64211416277.24,57,24016880024.39,65.17,6,3,True
PROJ_00105,2024-11-11,1099986767018.33,293,540269987829.59,1197835809399.98,246,602345397491.83,65.94,5,3,True
PROJ_00106,2024-06-28,98093443375.52,375,58608529443.86,124567012963.03,396,68552653122.74,97.07,6,1,False
PROJ_00107,2023-12-04,117245371114.14,338,48607807772.53,82071759779.898,381,34025465440.770996,20.57,5,7,True
PROJ_00108,2024-05-01,753621979760.98,192,247567465336.8,527535385832.686,248,173297225735.75998,37.6,5,1,False
PROJ_00109,2025-04-30,1001186162948.75,277,576360807958.54,700830314064.125,322,403452565570.978,25.22,10,1,True
PROJ_00110,2024-08-15,342194025912.3,97,137806698219.93,239535818138.61,98,96464688753.95099,41.34,4,2,False
PROJ_00111,2024-05-02,2391972834249.21,373,1238894856576.48,2738097676443.03,364,1406316054046.59,99.18,3,3,False
PROJ_00112,2025-07-30,267370109919.57,99,147585411496.83,305194643732.24,98,161312264793.15,83.27,2,5,False
PROJ_00113,2025-02-20,118326309478.75,163,49396230123.07,82828416635.125,178,34577361086.148994,41.26,1,3,False
PROJ_00114,2024-11-06,140230602751.79,345,51553204594.22,159646249130.6,395,57934334605.39,70.29,4,2,False
PROJ_00115,2025-07-17,369445850089.62,182,127176472249.95,258612095062.73398,182,89023530574.965,32.82,3,7,True
PROJ_00116,2025-01-09,1973614053651.54,409,712239636208.31,2025448595973.59,425,734001491362.67,56.55,8,3,True
PROJ_00117,2024-02-21,413321943044.65,99,133990895196.93,501441013004.04,82,131934955302.58,72.79,6,3,True
PROJ_00118,2024-06-25,87591656492.69,229,46961213845.21,89108040148.8,254,50182652347.5,97.48,4,1,False
PROJ_00119,2024-02-17,45559670552.99,484,18415355419.84,48770253178.65,545,17668231372.39,89.98,5,4,True
PROJ_00120,2024-06-06,44253021961.77,354,25848667897.73,57594383189.15,404,27490876638.73,96.74,1,2,False
PROJ_00121,2025-04-24,1491833866569.44,432,764341870968.98,1419607049547.52,359,805425853903.38,54.35,3,6,True
PROJ_00122,2025-04-01,248468224058.01,201,133724831641.29,173927756840.607,186,93607382148.90298,49.73,5,2,False
PROJ_00123,2024-06-23,3510629258248.56,378,1081801200622.25,2457440480773.9917,356,757260840435.575,6.52,6,4,True
PROJ_00124,2025-05-18,5429521526344.3,64,2675681224383.8,3800665068441.01,52,1872976857068.6597,19.58,6,3,True
PROJ_00125,2024-12-09,1056121585046.64,110,456346995476.09,1348422956877.6,88,487345143257.19,61.53,8,3,True
PROJ_00126,2025-05-17,4812844281355.11,427,1746705766833.57,3368990996948.577,529,1222694036783.499,37.9,7,3,True
PROJ_00127,2024-11-09,164696127462.11,227,54381219135.75,115287289223.47699,258,38066853395.024994,23.99,5,5,True
PROJ_00128,2024-10-02,162834391633.19,432,57014769313.06,182393401815.03,360,64366629246.1,65.53,2,3,False
PROJ_00129,2024-05-09,2911991465102.93,493,1634679444543.71,3344228831582.61,635,1525509303488.8,76.61,6,4,True
PROJ_00130,2024-02-16,146447550764.2,353,45128179593.8,183198076217.28,294,44180250228.15,96.62,10,3,True
PROJ_00131,2025-03-02,371823850926.78,317,145152438099.91,417185319540.54,291,165237686614.29,59.84,3,6,True
PROJ_00132,2025-02-14,370311049394.46,73,198763809190.73,419669683011.02,83,183789365009.38,57.33,6,3,True
PROJ_00133,2023-12-30,291757855351.89,24,140212123401.27,393158530817.13,26,129174578053.65,89.25,7,6,True
PROJ_00134,2023-11-15,107334888883.72,277,51651856565.99,114633419703.88,337,59563752822.33,90.74,6,4,True
PROJ_00135,2024-01-18,205374782549.22,254,96857744486.63,189062741948.81,267,112574536614.09,51.27,4,1,False
PROJ_00136,2024-03-02,5661508508670.41,156,2463770209687.48,6872697209222.46,180,2830567121398.34,92.94,6,5,True
PROJ_00137,2025-07-01,1116111022693.74,170,487596485788.3,781277715885.6179,216,341317540051.81,36.91,3,1,False
PROJ_00138,2024-03-09,63692130305.39,340,30547237442.02,79047872234.22,412,36576619644.19,50.22,2,3,False
PROJ_00139,2025-08-24,755828353574.76,277,293648545763.56,529079847502.332,314,205553982034.49197,48.6,2,6,True
PROJ_00140,2024-12-03,1466352208695.27,197,539447123642.04,1026446546086.689,196,377612986549.428,38.42,5,1,False
PROJ_00141,2025-05-30,48877536797.22,16,16754156196.5,53981619454.07,16,16642996533.86,89.01,2,3,False
PROJ_00142,2023-12-02,1389830501983.14,427,767904991310.3,1808945400925.52,386,904354949940.15,58.02,4,3,False
PROJ_00143,2024-10-26,23074165114.74,271,12156948871.51,16151915580.318,262,8509864210.056999,45.85,6,5,True
PROJ_00144,2024-10-22,430354783403.77,171,150839819282.16,301248348382.639,222,105587873497.512,24.69,7,3,True
PROJ_00145,2025-05-30,149426839737.72,282,77757749199.26,104598787816.40399,330,54430424439.481995,30.05,8,4,True
PROJ_00146,2025-01-19,416420894746.18,434,234497921780.17,466608042465.92,431,247016039605.13,94.4,6,2,True
PROJ_00147,2025-03-22,19217555447753.42,188,10922024116172.38,13452288813427.395,210,7645416881320.666,45.6,6,0,False
PROJ_00148,2024-06-11,101114758796.6,332,43933929583.26,102331263356.35,315,44268471415.16,51.04,3,3,False
PROJ_00149,2025-04-16,127687234226.54,193,58553973338.9,148913876695.02,187,63816330128.78,79.34,4,0,False
PROJ_00150,2023-10-09,428604438131.78,44,207479365424.96,300023106692.246,37,145235555797.472,8.86,3,1,False
PROJ_00151,2025-08-24,342046197667.47,25,172570718743.04,239432338367.22897,21,120799503120.12799,11.29,5,3,True
PROJ_00152,2024-01-23,357447708138.53,304,131472376614.21,409567596829.96,346,127867338849.59,64.05,7,2,True
PROJ_00153,2025-08-26,1158311431691.05,417,448256140593.67,1431609115412.84,373,508728131293.57,56.33,4,5,True
PROJ_00154,2025-03-30,925632507286.77,218,295098017678.84,1128908786467.09,213,289525972752.68,83.93,0,3,False
PROJ_00155,2024-06-27,160024722305.46,109,91559736547.88,202821560903.49,101,106452236067.45,94.3,5,4,True
PROJ_00156,2025-07-15,136968924845.56,20,80158572118.81,147512036761.86,18,81009227010.88,70.25,4,4,True
PROJ_00157,2024-09-10,152543428347.07,498,54276004355.8,180797822369.02,581,64717488739.37,55.21,8,2,True
PROJ_00158,2024-01-20,402263627185.71,319,144720205876.62,420771193158.19,388,130886114358.31,89.02,2,2,False
PROJ_00159,2024-07-24,33171165604.82,479,17010667644.99,33390706990.4,478,19199816556.44,94.88,4,2,False
PROJ_00160,2024-12-16,25671746430.51,474,11716297914.33,26882079658.59,383,11575615442.32,97.6,1,3,False
PROJ_00161,2024-03-07,380864653142.1,253,187597927121.2,546503458292.82,209,206637744344.58,57.06,9,5,True
PROJ_00162,2025-01-04,410381768470.42,128,219782772531.64,452463410835.88,142,249320820387.19,99.13,4,1,False
PROJ_00163,2023-10-01,61711647696.6,190,28275015235.18,78043664748.0,191,28008523500.0,90.64,7,5,True
PROJ_00164,2024-06-23,114575497077.07,131,57733000357.16,80202847953.949,108,40413100250.012,7.62,5,2,False
PROJ_00165,2025-02-21,171707594402.7,79,57121621017.88,209286716120.15,63,65622317173.25,63.65,7,1,True
PROJ_00166,2024-03-28,95203076946.49,282,55983282231.53,124877484143.3,295,50588225669.08,52.15,6,3,True
PROJ_00167,2025-02-28,50101353669.11,261,17704136845.69,63150328019.34,271,19308717539.27,51.47,5,5,True
PROJ_00168,2024-01-14,287958142003.7,355,117238226251.82,308913481667.36,323,106883627581.14,78.75,5,2,False
PROJ_00169,2025-06-29,177523884181.75,230,76231275753.89,232313408211.83,213,75370502849.25,71.92,5,7,True
PROJ_00170,2024-07-29,171487576265.42,484,54996456319.95,214125480944.4,418,62127518215.64,94.08,8,4,True
PROJ_00171,2025-07-13,118640452191.49,147,42730503321.13,83048316534.043,131,29911352324.790997,20.36,1,1,False
PROJ_00172,2025-02-28,1104966305378.45,178,612734328570.43,773476413764.9149,190,428914029999.301,42.26,5,7,True
PROJ_00173,2025-06-12,671904762187.18,18,255763250621.93,768028552660.49,16,237724395837.87,62.84,6,4,True
PROJ_00174,2024-04-18,216588575256.36,387,112343263436.78,269011275115.64,341,127606409705.34,86.17,4,7,True
PROJ_00175,2024-03-02,112271308440.46,348,60026009871.67,78589915908.322,299,42018206910.169,12.44,7,3,True
PROJ_00176,2024-10-14,614296242766.01,98,213272575091.57,430007369936.207,105,149290802564.099,30.98,9,1,True
PROJ_00177,2024-03-11,69797791282.52,410,40517501245.9,48858453897.764,370,28362250872.13,43.05,4,2,False
PROJ_00178,2025-04-02,141339887060.64,224,60140144449.95,160280271017.31,199,71639118301.49,75.09,3,2,False
PROJ_00179,2025-03-24,231379346610.28,462,82589606216.58,247015195964.29,507,78595009668.77,58.22,3,5,True
PROJ_00180,2023-09-28,4620339784035.53,412,2250542713690.56,4884677178578.44,385,2429011841973.66,64.85,1,5,False
PROJ_00181,2025-06-02,236818516657.92,287,115463574835.67,165772961660.544,325,80824502384.969,37.36,4,5,True
PROJ_00182,2024-08-24,93514205901.56,253,49049632221.21,119430979314.14,213,47076910013.98,91.45,4,4,True
PROJ_00183,2025-02-09,560278623416.75,56,173042734445.62,392195036391.725,61,121129914111.93399,35.6,1,3,False
PROJ_00184,2023-10-17,35603323716.44,347,19280164484.04,39407846428.16,341,22530873996.34,82.3,7,4,True
PROJ_00185,2024-01-20,1720046797829.51,350,728270979000.68,2208744199901.12,362,661629364958.41,87.37,7,4,True
PROJ_00186,2024-10-03,117711064325.6,12,49780164012.56,114158761149.16,13,57969358591.08,65.52,2,1,False
PROJ_00187,2024-08-07,769375482332.41,300,416811752490.06,538562837632.687,280,291768226743.042,0.8,5,6,True
PROJ_00188,2024-05-30,851078811951.49,15,396612392007.57,1013913918903.1,12,376617315906.02,50.31,8,3,True
PROJ_00189,2023-11-26,386764912906.28,159,178844304908.66,270735439034.396,146,125191013436.062,34.52,6,2,True
PROJ_00190,2024-05-31,1974188235988.62,161,957264421541.18,2213079616543.81,177,895196518079.07,55.69,6,4,True
PROJ_00191,2025-04-30,85339732606.25,291,38717393042.3,59737812824.375,251,27102175129.61,11.43,11,6,True
PROJ_00192,2023-12-17,1565477645514.15,156,871176108189.9,2273370496338.18,167,1037065239355.13,88.26,5,2,False
PROJ_00193,2023-12-24,435706380467.0,182,189594830496.12,463602809406.65,209,191935211833.32,51.34,4,2,False
PROJ_00194,2025-02-06,165805783456.98,488,84996968462.89,116064048419.886,577,59497877924.022995,0.84,3,3,False
PROJ_00195,2023-12-07,940507325601.67,304,473302810543.06,1108769417641.0,267,462638969701.97,75.85,1,4,False
PROJ_00196,2025-03-26,49263624515.3,355,27919586611.9,65963052804.3,359,32731570756.11,57.88,5,2,False
PROJ_00197,2024-02-03,41724885591.33,90,19836028428.72,29207419913.931,109,13885219900.104,13.37,8,4,True
PROJ_00198,2024-02-06,821143678916.71,489,433773581971.77,574800575241.6969,606,303641507380.239,18.77,4,1,False
PROJ_00199,2025-08-03,145853656068.35,187,78050917359.58,102097559247.845,193,54635642151.706,42.9,5,9,True
PROJ_00200,2025-01-26,65037563776.34,300,19948826691.89,45526294643.437996,365,13964178684.322998,36.04,5,3,True
PROJ_00201,2025-04-12,6687967508507.05,350,2813631185001.29,4681577255954.935,388,1969541829500.9028,39.06,4,4,True
PROJ_00202,2024-03-15,7492817648.8,59,3707840886.11,7674300514.27,67,4112517390.78,80.44,5,3,True
PROJ_00203,2024-06-25,45701700273.78,348,23963152053.87,54237096445.82,397,21746317661.55,81.03,2,3,False
PROJ_00204,2025-03-21,249868552985.36,305,135139727877.23,263161205006.35,248,138788573944.03,96.09,5,4,True
PROJ_00205,2025-06-10,437990448940.16,125,163758411866.0,474856890393.05,143,177008410627.77,69.07,7,1,True
PROJ_00206,2024-12-04,782825800904.15,382,249500846287.88,547978060632.90497,345,174650592401.516,33.53,5,1,False
PROJ_00207,2024-05-01,24405606498.5,403,7869499017.07,17083924548.949999,449,5508649311.948999,43.85,4,1,False
PROJ_00208,2025-04-02,39141990642.2,22,12477270933.27,27399393449.539997,20,8734089653.289,21.05,4,1,False
PROJ_00209,2025-09-03,190607267359.17,495,101816075599.46,133425087151.419,573,71271252919.622,30.36,1,4,False
PROJ_00210,2024-04-20,58625618175.12,98,27688074682.52,70910637074.89,120,28298359727.26,66.72,8,5,True
PROJ_00211,2025-09-27,148474926326.82,354,67430662885.82,163852585472.54,443,72903018208.32,90.33,11,4,True
PROJ_00212,2024-08-12,3398482633321.01,327,1165340839573.77,2378937843324.7065,404,815738587701.6389,37.45,6,2,True
PROJ_00213,2024-11-09,509758373051.89,285,210509351988.04,356830861136.323,338,147356546391.628,23.21,4,6,True
PROJ_00214,2025-08-15,2560185249348.72,410,1308830656469.64,3125280974569.95,486,1226400821815.0,93.52,5,3,True
PROJ_00215,2025-07-24,38523546617.87,322,16621122255.69,43966593395.91,374,15515450298.67,83.92,1,2,False
PROJ_00216,2024-10-14,33578939942.03,199,17081183509.69,41471935611.55,190,19213390099.25,61.08,2,6,True
PROJ_00217,2024-12-19,93567499603.17,442,34650635051.77,65497249722.218994,415,24255444536.238995,34.51,4,7,True
PROJ_00218,2025-03-10,1216495930321.54,92,478768798403.73,851547151225.078,77,335138158882.61096,34.0,3,5,True
PROJ_00219,2025-01-02,63216053091.41,151,27475823337.31,68895331758.35,141,26188793959.92,91.32,1,2,False
PROJ_00220,2024-01-29,123479981199.84,292,39103844991.47,86435986839.88799,260,27372691494.029,0.69,7,2,True
PROJ_00221,2024-06-07,2047314531394.45,223,720660684800.11,1433120171976.115,202,504462479360.07697,48.58,5,3,True
PROJ_00222,2024-05-15,83185948825.46,236,39095863469.1,94736049371.05,243,36578587499.36,65.7,3,3,False
PROJ_00223,2023-12-02,408717718028.95,458,208409889947.67,446342598557.97,545,202578835934.3,61.69,7,1,True
PROJ_00224,2024-09-08,338543939692.0,287,124569439018.71,383651556543.7,241,129553205195.58,61.4,6,3,True
PROJ_00225,2023-10-19,2080545662763.27,375,738181169849.92,1456381963934.2888,412,516726818894.944,13.96,5,2,False
PROJ_00226,2025-05-22,63391127648.11,68,31500501783.92,67052149656.52,66,33554303435.45,97.12,4,3,False
PROJ_00227,2025-04-17,1859886466740.92,369,736320899533.36,1301920526718.6438,462,515424629673.3519,43.82,7,2,True
PROJ_00228,2024-05-20,379275647147.92,203,177164264492.38,265492953003.54398,246,124014985144.666,23.14,11,4,True
PROJ_00229,2025-05-22,230780178724.09,13,122414681104.15,308428823604.25,11,141653065996.96,50.05,5,6,True
PROJ_00230,2024-05-10,228548735976.09,202,96005023723.09,289949835398.58,224,92817928028.41,78.33,3,4,False
PROJ_00231,2023-10-05,642627182963.53,39,342447763707.31,449839028074.471,35,239713434595.11697,13.05,7,2,True
PROJ_00232,2023-12-09,273353524132.22,218,100988426869.27,308167659933.16,237,91232011799.27,86.84,3,2,False
PROJ_00233,2025-09-21,118469248806.04,313,60338152692.48,82928474164.228,338,42236706884.736,36.41,1,1,False
PROJ_00234,2025-07-05,346903076570.89,72,109334112563.78,242832153599.623,65,76533878794.646,42.61,6,3,True
PROJ_00235,2023-11-27,321582098696.86,302,166662742624.79,225107469087.80197,267,116663919837.353,48.44,4,5,True
PROJ_00236,2024-05-19,22774833207.21,43,8154087263.83,29441954942.71,37,9143873463.9,64.15,5,5,True
PROJ_00237,2023-12-06,2675263425818.13,486,1596936767724.32,1872684398072.691,497,1117855737407.024,3.0,3,6,True
PROJ_00238,2023-10-30,331366807090.7,25,119443986674.65,434214180657.93,31,143044783556.06,93.44,4,1,False
